name,diameter,coordinates,approval year,gender, famous_for,ethnicity,human_name,,continent
Callicrates,66°31′S 30°22′W﻿ / ﻿66.51°S 30.37°W﻿ / -66.51; -30.37﻿ (Callicrates),68,1976,Male,architect,Greek,Kallicrates,Kallicrates,Europe
Camões,71°25′S 68°23′W﻿ / ﻿71.42°S 68.39°W﻿ / -71.42; -68.39﻿ (Camões),70,1976,Male,writer,Portugal,Luís de Camões,Luís de Camões,Europe
Carducci,36°32′S 90°23′W﻿ / ﻿36.54°S 90.39°W﻿ / -36.54; -90.39﻿ (Carducci),108.19,1976,Male,poet,Italy ,Giosuè Carducci,Giosuè Carducci,Europe
Cervantes,76°05′S 124°16′W﻿ / ﻿76.09°S 124.26°W﻿ / -76.09; -124.26﻿ (Cervantes),213.16,1976,Male,writer,Spain,Miguel de Cervantes,Miguel de Cervantes,Europe
Chaikovskij,7°52′N 50°56′W﻿ / ﻿7.86°N 50.93°W﻿ / 7.86; -50.93﻿ (Chaikovskij),171,1976,Male,composer,Russia ,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky,Europe/Asia
Chao Meng-Fu,88°25′S 156°22′W﻿ / ﻿88.42°S 156.36°W﻿ / -88.42; -156.36﻿ (Chao Meng-Fu),140.73,1976,Male,artist,China ,Zhao Mengfu,Zhao Mengfu,Asia
Chekhov,36°12′S 61°14′W﻿ / ﻿36.2°S 61.23°W﻿ / -36.2; -61.23﻿ (Chekhov),194,1976,Male,playwright,Russia,Anton Chekhov,Anton Chekhov,Europe/Asia
Chiang Kʻui,14°43′N 102°48′W﻿ / ﻿14.71°N 102.8°W﻿ / 14.71; -102.8﻿ (Chiang Kʻui),41,1976,Male,poet,China ,Jiang Kui,Jiang Kui,Asia
Chopin,65°27′S 123°24′W﻿ / ﻿65.45°S 123.4°W﻿ / -65.45; -123.4﻿ (Chopin),131,1976,Male,composer,Poland ,Frédéric Chopin,Frédéric Chopin,Europe
Chu Ta,2°02′N 105°40′W﻿ / ﻿2.04°N 105.66°W﻿ / 2.04; -105.66﻿ (Chu Ta),100,1976,Male,painter,China ,Zhu Da,Zhu Da,Asia
Coleridge,55°40′S 66°36′W﻿ / ﻿55.67°S 66.6°W﻿ / -55.67; -66.6﻿ (Coleridge),112,1976,Male,poet,England ,Samuel Taylor Coleridge,Samuel Taylor Coleridge,Europe
Copley,38°38′S 86°01′W﻿ / ﻿38.63°S 86.01°W﻿ / -38.63; -86.01﻿ (Copley),34,1976,Male,painter,United States ,John Singleton Copley,John Singleton Copley,North America
